originalorder	field	description	k	r	sd	documentnumber	reference	year
123	Gender roles	Men are recommended for jobs over women	19	0.2	0.16	212	Olian, J. D., Schwab, D. P., & Haberfeld, Y. (1988). The impact of applicant gender compared to qualifications on hiring recommendations: A meta-analysis of experimental studies. Organizational Behavior and Human Decision Processes, 41, 180–195. 	1988
124	Gender roles	People rate male authors more favorably than female authors	575	0.02	0.09	282	Swim, J., Borgida, E., Maruyama, G., & Myers, D. G. (1989). Joan McKay versus John McKay: Do gender stereotypes bias evaluations? Psychological Bulletin, 105, 409–429. 	1989
125	Gender roles	Counselors evaluate female clients more favorably than male clients	60	0.02	NA	259	Smith, M. L. (1980). Sex bias in counseling and psychotherapy. Psychological Bulletin, 87, 392–407. 	1980
126	Gender roles	Women are more likely than men to say positive things about people	6	0.21	0.35	299	Warr, P. B. (1971). Pollyanna's personal judgments. European Journal of Social Psychology, 1, 327–338. 	1971
127	Gender roles	Nonmasculine men are at risk for assaulting their wives	14	0.1	0.32	276	Sugarman, D. B., & Frankel, S. L. (1996). Patriarchal ideology and wife-assault: A meta-analytic review. Journal of Family Violence, 11, 13– 40. 	1996
128	Gender roles	Highly feminine women are at risk for being assaulted by their husbands	16	0.19	0.09	276	Sugarman, D. B., & Frankel, S. L. (1996). Patriarchal ideology and wife-assault: A meta-analytic review. Journal of Family Violence, 11, 13– 40. 	1996
129	Gender roles	Highly feminine people: have high self-esteem	63	0.17	0.11	303	Whitley, B. E., Jr. (1983). Sex role orientation and self-esteem: A critical meta-analytic review. Journal of Personality and Social Psychology, 44, 765–778. 	1983
130	Gender roles	Highly feminine people: have high self-esteem	35	0.24	NA	288	Taylor, M. C., & Hall, J. A. (1982). Psychological androgyny: Theories, methods, and conclusions. Psychological Bulletin, 92, 347–366. 	1982
131	Gender roles	Highly feminine people: report high social satisfaction	23	0.27	0.12	242	Saragovi, C., Koestner, R., Dio, L. D., & AubeÂ´, J. (1997). Agency, communion, and wellbeing: Extending Helgeson's (1994) model. Journal of Personality and Social Psychology, 73, 593– 609. 	1997
132	Gender roles	Highly masculine people: have high self-esteem	63	0.52	0.23	303	Whitley, B. E., Jr. (1983). Sex role orientation and self-esteem: A critical meta-analytic review. Journal of Personality and Social Psychology, 44, 765–778. 	1983
133	Gender roles	Highly masculine people: have high self-esteem	36	0.52	NA	288	Taylor, M. C., & Hall, J. A. (1982). Psychological androgyny: Theories, methods, and conclusions. Psychological Bulletin, 92, 347–366. 	1982
134	Gender roles	Highly masculine people: report high social satisfaction	23	0.14	0	242	Saragovi, C., Koestner, R., Dio, L. D., & AubeÂ´, J. (1997). Agency, communion, and wellbeing: Extending Helgeson's (1994) model. Journal of Personality and Social Psychology, 73, 593– 609. 	1997
135	Group processes	Goal-setting facilitates group performance	26	0.42	0.08	211	O'Leary-Kelley, A. M., Martocchio, J. J., & Frink, D. D. (1994). A review of the influence of group goals on group performance. Academy of Management Journal, 37, 1285–1301. 	1994
136	Group processes	Highly cohesive groups show high group productivity	66	0.25	0.21	190	Mullen, B., & Copper, C. (1994). The relation between group cohesiveness and performance: An integration. Psychological Bulletin, 115, 210–227.	1994
137	Group processes	Highly cohesive groups show high group productivity	51	0.17	0.17	119	Gully, S. M., Devine, D. J., & Whitney, D. J. (1995). A meta-analysis of cohesion and performance: Effects of levels of analysis and task interdependence. Small Group Research, 26, 497–520.	1995
138	Group processes	Highly cohesive groups show high group productivity	18	0.36	0.14	89	Evans, C. R., & Dion, K. L. (1991). Group cohesion and performance: A meta-analysis. Small Group Research, 22, 175–186.	1991
139	Group processes	Highly cohesive groups make bad decisions	17	0.02	0.22	183	Mullen, B., Anthony, T., Salas, E., & Driskell, J. E. (1994). Group cohesiveness and quality of decision making: An integration of tests of the groupthink hypothesis. Small Group Research, 25, 189–204.	1994
140	Group processes	There is social loafing when people work in a group	163	0.21	0.3	149	Karau, S. J., & Williams, K. D. (1993). Social loafing: A meta-analytic review and theoretical integration. Journal of Personality and Social Psychology, 65, 681–706.	1993
141	Group processes	All-male groups outperform all-female groups	64	0.19	0.28	314	Wood, W. (1987). Meta-analytic review of sex differences in group performance. Psychological Bulletin, 102, 53–71. 	1987
142	Group processes	People produce more ideas alone than in group brainstorming	34	0.45	0.42	196	Mullen, B., Johnson, C., Salas, E. (1991). Productivity loss in brainstorming groups: A metaanalytic integration. Basic and Applied Social Psychology, 12, 3–23.	1991
143	Group processes	The members of a group influence one another	108	0.33	0.28	285	Tanford, S., & Penrod, S. (1984). Social influence model: A formal integration of research on majority and minority influence processes. Psychological Bulletin, 95, 189–225. 	1984
144	Group processes	People who deviate from a group are rejected by that group	23	0.6	0.37	287	Tata, J., Anthony, T., Lin, H., Newman, B., Tang, S., Millson, M., & Sivakumar, K. (1996). Proportionate group size and rejection of the deviate: A meta-analytic integration. Journal of Social Behavior and Personality, 11, 739–752. 	1996
145	Group processes	Intelligent people are the most active members of a group	36	0.18	NA	172	Mann, R. D. (1959). A review of the relationships between personality and performance in small groups. Psychological Bulletin, 56, 241–270.	1959
146	Group processes	A person who is close to others and central to group communication: will be satisfied with the group	33	0.33	0	186	Mullen, B., Johnson, C., & Salas, E. (1991). Effects of communication network structure: Components of positional centrality. Social Networks, 13, 169–186.	1991
147	Group processes	A person who is close to others and central to group communication: will actively participate in the group	39	0.33	0.05	186	Mullen, B., Johnson, C., & Salas, E. (1991). Effects of communication network structure: Components of positional centrality. Social Networks, 13, 169–186.	1991
148	Group processes	A person who is close to others and central to group communication: is likely to emerge as leader of the group	33	0.37	0.09	186	Mullen, B., Johnson, C., & Salas, E. (1991). Effects of communication network structure: Components of positional centrality. Social Networks, 13, 169–186.	1991
149	Group processes	People who participate in a group are likely to become the leader of that	72	0.6	NA	268	Stein, R. T., & Heller, T. (1979). An empirical analysis of the correlations between leadership status and participation rates reported in the literature. Journal of Personality and Social Psychology, 37, 1993–2002. 	1979
150	Group processes	group	33	0.55	0.17	198	Mullen, B., Salas, E., & Driskell, J. E. (1989). Salience, motivation, and artifact as contributions to the relation between participation rate and leadership. Journal of Experimental Social Psychology, 25, 545–559.	1989
151	Group processes	People who are highly esteemed are likely to lead group discussions	17	0.36	0.16	23	Bass, B. M. (1954). The leaderless group discussion. Psychological Bulletin, 51, 465–492.	1954
152	Group processes	Knowledge of others' views causes a group polarization of attitudes	22	0.44	0.43	142	Isenberg, D. J. (1986). Group polarization: A critical review and meta-analysis. Journal of Personality and Social Psychology, 50, 1141–1151.	1986
153	Group processes	Hearing others' arguments causes a group polarization of attitudes	12	0.75	0.43	142	Isenberg, D. J. (1986). Group polarization: A critical review and meta-analysis. Journal of Personality and Social Psychology, 50, 1141–1151.	1986
154	Group processes	Dormitory crowding makes residents dissatisfied	19	0.28	0.15	192	Mullen, B., & Felleman, V. (1990). Tripling in the dorms: A meta-analytic integration. Basic and Applied Social Psychology, 11, 33–43.	1990
155	Group processes	Large groups have firmer spatial boundaries than small groups	58	0.2	0.19	187	Mullen, B., Copper, C., Cox, P., Fraser, C., Hu, L., Meisler, A., Smith, C., & Symons, C. (1991). Boundaries around group interaction: A meta-analytic integration of the effects of group size. The Journal of Social Psychology, 131, 271–283.	1991
156	Group processes	In social dilemmas, people favor self-interest over group interest	130	0.06	NA	241	Sally, D. (1995). Conversation and cooperation in social dilemmas. Rationality and Society, 7, 58–92. 	1995
157	Group processes	Tough bargaining strategies produce advantageous outcomes	34	0.2	0.06	10	Allen, M., Donohue, W., & Stewart, B. (1990). Comparing hardline and softline bargaining strategies in zero-sum situations using meta-analysis. In M. A. Rahim (Ed.), Theory and research in conflict management (pp. 86–103). New York: Praeger.	1990
158	Group processes	Negotiators are likely to compromise if they: are experienced	14	0.37	0.28	74	Druckman, D. (1994). Determinants of compromising behavior in negotiation: A meta-analysis. Journal of Conflict Resolution, 38, 507–556.	1994
159	Group processes	Negotiators are likely to compromise if they: have a cooperative personality and a tough opponent	20	0.37	0.39	74	Druckman, D. (1994). Determinants of compromising behavior in negotiation: A meta-analysis. Journal of Conflict Resolution, 38, 507–556.	1994
160	Group processes	Negotiators sometimes reach mutually disadvantageous agreements	20	0.2	0	289	Thompson, L., & Hrebec, D. (1996). Lose-lose agreements in interdependent decision making. Psychological Bulletin, 120, 396–409. 	1996
161	Group processes	Conversations lack social content if they are computer-mediated	21	0.09	0	298	Walther, J. B., Anderson, J. F., & Park, D. W. (1994). Interpersonal effects in computer-mediated interaction: A meta-analysis of social and antisocial communication. Communication Research, 21, 460–487. 	1994
162	Health psychology	People who receive the most social support are healthy	316	0.11	NA	258	Smith, C. E., Fernengel, K., Holcroft, C., Gerald, K., & Marien, L. (1994). Meta-analysis of the associations between social support and health outcomes. Annals of Behavioral Medicine, 16, 352– 362. 	1994
163	Health psychology	People who receive the most social support are unhealthy	110	0.07	0.13	251	Schwarzer, R., & Leppin, A. (1991). Social support and health: A theoretical and empirical overview. Journal of Social and Personal Relationships, 8, 99–127. 	1991
164	Health psychology	People who receive the most social support are unhealthy	83	0.06	0.07	250	Schwarzer, R., & Leppin, A. (1989). Social support and health: A meta-analysis. Psychology and Health, 3, 1–15. 	1989
165	Health psychology	People who lack social support have high blood pressure	21	0.08	0.01	294	Uchino, B. N., Cacioppo, J. T., & KiecoltGlaser, J. K. (1996). The relationship between social support and physiological processes: A review with emphasis on underlying mechanisms and implications for health. Psychological Bulletin, 119, 488–531. 	1996
166	Health psychology	Social support facilitates healthy maternal attitudes and behavior	163	0.3	0.24	17	Andresen, P. A., & Telleen, S. L. (1992). The relationship between social support and maternalbehaviors and attitudes: A meta-analytic review. American Journal of Community Psychology, 20, 753–774.	1992
167	Health psychology	People who believe they have social support in fact have social support	39	0.27	0.41	224	Procidano, M. E. (1992). The nature of perceived social support: Findings of meta-analytic studies. Advances in Personality Assessment, 9, 1–26. 	1992
168	Health psychology	People with Type A personalities suffer chronic emotional distress	101	0.13	0.33	278	Suls, J., & Wan, C. K. (1989). The relation between type A behavior and chronic emotional distress: A meta-analysis. Journal of Personality and Social Psychology, 57, 503–512. 	1989
169	Health psychology	The most socially active people report the highest life satisfaction	506	0.15	0.1	209	Okun, M. A., Stock, W. A., Haring, M. J., & Witter, R. A. (1984). The activity/subjective wellbeing relation: A quantitative synthesis. Research on Aging, 6, 45–65. 	1984
170	Health psychology	Anglo Americans report higher life satisfaction than African-Americans	54	0.1	0.08	272	Stock, W. A., Okun, M. A., Haring, M. J., & Witter, R. A. (1985). Race and subjective well-being in adulthood: A black-white research synthesis. Human Development, 28, 192–197. 	1985
171	Health psychology	Married people report higher life satisfaction than others	111	0.14	0.08	128	Haring-Hidore, M., Stock, W. A., Okun, M. A., & Witter, R. A. (1985). Marital status and subjective well-being: A research synthesis. Journal of Marriage and the Family, 47, 947–953.	1985
172	Health psychology	Women report higher life satisfaction than men	85	0	0.04	317	Wood, W., Rhodes, N., & Whelan, M. (1989). Sex differences in positive well-being: A consideration of emotional style and marital status. Psychological Bulletin, 106, 249–264. 	1989
173	Health psychology	Men report higher life satisfaction than women	149	0.04	0.4	127	Haring, M. J., Stock, W. A., & Okun, M. A. (1984). A research synthesis of gender and social class as correlates of subjective well-being. Human Relations, 37, 645–657.	1984
174	Health psychology	When people drink alcohol, they engage in extreme behaviors	121	0.24	NA	267	Steele, C. M., & Southwick, L. (1985). Alcohol and social behavior I: The psychology of drunken excess. Journal of Personality and Social Psychology, 48, 18–34. 	1985
175	Health psychology	When people think they are drinking alcohol: they engage in extreme behaviors	48	0.19	NA	267	Steele, C. M., & Southwick, L. (1985). Alcohol and social behavior I: The psychology of drunken excess. Journal of Personality and Social Psychology, 48, 18–34. 	1985
176	Health psychology	When people think they are drinking alcohol: they engage in illicit social behaviors	20	0.08	0.18	140	Hull, J. G., & Bond, C. F., Jr. (1986). Social and behavioral consequences of alcohol consumption and expectancy: A meta-analysis. Psychological Bulletin, 99, 347–360.	1986
177	Health psychology	People with AIDS suffer more stigma than people with other diseases	21	0.22	0.32	61	Crawford, A. M. (1996). Stigma associated with AIDS: A meta-analysis. Journal of Applied Social Psychology, 26, 398–416.	1996
178	Health psychology	People who suffer depression are evaluated negatively	26	0.27	0.19	253	Segrin, C., & Dillard, J. P. (1992). The interactional theory of depression: A meta-analysis of the research literature. Journal of Social and Clinical Psychology, 11, 43–70. 	1992
179	Health psychology	People who suffer depression make their interaction partners feel bad	63	0.16	0.22	253	Segrin, C., & Dillard, J. P. (1992). The interactional theory of depression: A meta-analysis of the research literature. Journal of Social and Clinical Psychology, 11, 43–70. 	1992
180	Health psychology	Disabled students have low status among their peers	37	0.3	0.09	205	Ochoa, S. H., & Olivarez, A., Jr. (1995). A meta-analysis of peer rating sociometric studies of pupils with learning disabilities. The Journal of Special Education, 29, 1–19.	1995
181	Health psychology	People exercise if they are encouraged to exercise	173	0.21	0	48	Carron, A. V., Hausenblas, H. A., & Mack, D. (1996). Social influence and exercise: A metaanalysis. Journal of Sport & Exercise Psychology, 18, 1–16.	1996
182	Health psychology	People exercise if they intend to exercise and like to exercise	70	0.4	0	133	Hausenblas, H. A., Carron, A. V., & Mack, D. E. (1997). Application of the theories of reasoned action and planned behavior to exercise: A meta-analysis. Journal of Sport & Exercise Psychology, 19, 36–51.	1997
183	Health psychology	People donate blood if they intend to donate blood and like to do so	23	0.26	NA	98	Ferguson, E. (1996). Predictors of future behaviour: A review of the psychological literature on blood donation. British Journal of Health Psychology, 1, 287–309.	1996
184	Helping behavior	People are likely to help others when they are in a bad mood	85	0.11	NA	46	Carlson, M., & Miller, N. (1987). Explanation of the relation between negative mood and helping. Psychological Bulletin, 102, 91–108.	1987
185	Helping behavior	People are likely to help others when they are in a good mood	61	0.26	NA	43	Carlson, M., Charlin, V., & Miller, N. (1988). Positive mood and helping behavior: A test of six hypotheses. Journal of Personality and Social Psychology, 55, 211–229.	1988
186	Helping behavior	Children who are helpful can infer others' motives and thoughts	22	0.28	0.46	296	Underwood, B., & Moore, B. (1982). Perspective-taking and altruism. Psychological Bulletin, 91, 143–173. 	1982
187	Helping behavior	Children who are helpful can infer others' feelings and concerns	14	0.09	0.49	296	Underwood, B., & Moore, B. (1982). Perspective-taking and altruism. Psychological Bulletin, 91, 143–173. 	1982
188	Helping behavior	People act prosocially after seeing prosocial behavior on TV	108	0.26	0.42	134	Hearold, S. (1986). A synthesis of 1043 effects of television on social behavior. In G. Comstock (Ed.), Public communication and behavior (Vol. 1, pp. 65–133). Orlando, FL: Academic Press.	1986
189	Helping behavior	Only children are prosocial in character	26	0.07	0.23	90	Falbo, T., & Polit, D. F. (1986). Quantitative review of the only child literature: Research evidence and theory development. Psychological Bulletin, 100, 176–189.	1986
190	Helping behavior	People are likely to help individuals who depend on them	72	0.25	NA	33	Bornstein, R. F. (1994). Dependency as a social cue: A meta-analytic review of research on the dependency-helping relationship. Journal of Research in Personality, 28, 182–213.	1994
191	Helping behavior	Rural people are more helpful than urban people	65	0.11	NA	264	Steblay, N. M. (1987). Helping behavior in rural and urban environments: A meta-analysis. Psychological Bulletin, 102, 346–356. 	1987
192	Helping behavior	Men are more likely than women to help others	99	0.17	0.2	79	Eagly, A. H., & Crowley, M. (1986). Gender and helping behavior: A meta-analytic review of the social psychological literature. Psychological Bulletin, 100, 283–308.	1986
193	Helping behavior	Women are more likely than men to perform caretaking tasks for others	21	0.07	0.09	177	Miller, B., & Cafasso, L. (1992). Gender differences in caregiving: Fact or artifact? The Gerontologist, 32, 498–507.	1992
194	Helping behavior	Women have more empathy than men	18	0.37	0.19	86	Eisenberg, N., & Lennon, R. (1983). Sex differences in empathy and related capacities. Psychological Bulletin, 94, 100–131.	1983
195	Helping behavior	Empathy increases helping behavior	161	0.15	0.1	87	Eisenberg, N., & Miller, P. A. (1987). The relation of empathy to prosocial and related behaviors. Psychological Bulletin, 101, 91–119.	1987
196	Helping behavior	People who are empathetic are nonaggressive	49	0.1	0.06	178	Miller, P. A., & Eisenberg, N. (1988). The relation of empathy to aggressive and externalizing/antisocial behavior. Psychological Bulletin, 103, 324–344.	1988
197	Helping behavior	Empathetic people do not act negatively, antisocially, or abusively	23	0.21	NA	178	Miller, P. A., & Eisenberg, N. (1988). The relation of empathy to aggressive and externalizing/antisocial behavior. Psychological Bulletin, 103, 324–344.	1988
198	Intergroup relations	People prefer their own group to other groups	137	0.35	0.31	188	Mullen, B., Brown, R., & Smith, C. (1992). Ingroup bias as a function of salience, relevance, and status: An integration. European Journal of Social Psychology, 22, 103–122.	1992
199	Intergroup relations	Minority psychotherapy clients prefer counselors of their own ethnicity	42	0.25	0.24	54	Coleman, H. L. K., Wampold, B. E., & Casali, S. L. (1995). Ethnic minorities' ratings of ethnically similar and European American counselors: A meta-analysis. Journal of Counseling Psychology, 42, 55–64.	1995
200	Intergroup relations	Schoolchildren prefer classmates of their own race	24	0.37	0.15	244	Schofield, J. W., & Whitley, B. E., Jr. (1983). Peer nomination vs. rating scale measurement of children's peer preferences. Social Psychology Quarterly, 46, 242–251. 	1983
201	Intergroup relations	People identify members of their own race better than members of another race	44	0.28	0.34	18	Anthony, T., Copper, C., & Mullen, B. (1992). Cross-racial facial identification: A social cognitive integration. Personality and Social Psychology Bulletin, 18, 296–301.	1992
202	Intergroup relations	People identify members of their own race better than members of another race	28	0.33	0.18	35	Bothwell, R. K., Brigham, J. C., & Malpass, R. S. (1989). Cross-racial identification. Personality and Social Psychology Bulletin, 15, 19–25.	1989
203	Intergroup relations	In judging performance, Anglo Americans favor Anglo Americans over African Americans	76	0.09	NA	239	Sackett, P. R., & DuBois, C. L. (1991). Raterratee race effects on performance evaluation. Journal of Applied Psychology, 76, 873–877. 	1991
204	Intergroup relations	In judging performance, Anglo Americans favor Anglo Americans over African Americans	74	0.15	0.1	160	Kraiger, K., & Ford, J. K. (1985). A metaanalysis of ratee race effects in performance ratings. Journal of Applied Psychology, 70, 56–65.	1985
205	Intergroup relations	In judging performance, African Americans favor African Americans over Anglo Americans	16	0.01	NA	239	Sackett, P. R., & DuBois, C. L. (1991). Raterratee race effects on performance evaluation. Journal of Applied Psychology, 76, 873–877. 	1991
206	Intergroup relations	In judging performance, African Americans favor African Americans over Anglo Americans	14	0.18	0.17	160	Kraiger, K., & Ford, J. K. (1985). A metaanalysis of ratee race effects in performance ratings. Journal of Applied Psychology, 70, 56–65.	1985
207	Intergroup relations	People give higher job ratings to Anglo than African Americans	53	0.2	0.09	103	Ford, J. K., Kraiger, K., & Schechtman, S. L. (1986). Study of race effects in objective indices and subjective evaluations of performance: A meta-analysis of performance criteria. Psychological Bulletin, 99, 330–337.	1986
208	Intergroup relations	Supervisors rate African Americans by job performance and knowledge	25	0.26	0	161	Kraiger, K., & Ford, J. K. (1990). The relation of job knowledge, job performance, and supervisory ratings as a function of ratee race. Human Performance, 3, 269–279.	1990
209	Intergroup relations	Supervisors rate Anglo Americans by job performance and knowledge	25	0.14	0.12	161	Kraiger, K., & Ford, J. K. (1990). The relation of job knowledge, job performance, and supervisory ratings as a function of ratee race. Human Performance, 3, 269–279.	1990
210	Intergroup relations	African Americans believe that they have high academic ability	14	0.08	NA	58	Cooper, H. M., & Dorr, N. (1995). Race comparisons on need for achievement: A meta-analytic alternative to Graham's narrative review. Review of Educational Research, 65, 483–508.	1995
211	Intergroup relations	School desegregation raises African Americans' academic achievement	269	0.04	NA	60	Crain, R. L., & Mahard, R. E. (1983). The effect of research methodology on desegregationachievement studies: A meta-analysis. American Journal of Sociology, 88, 839–854.	1983
212	Intergroup relations	School desegregation raises African Americans' academic achievement	106	0.22	NA	318	Wortman, P. M., & Bryant, F. B. (1985). School desegregation and black achievement: An integrative review. Sociological Methods and Research, 13, 289–324. 	1985
213	Intergroup relations	Blacks are slightly more impulsive, aggressive, and mature than Whites	64	0.06	0.37	115	Gorey, K. M., & Cryns, A. G. (1995). Lack of racial differences in behavior: A quantitative replication of Rushton's (1988) review and an independent meta-analysis. Personality and Individual Differences, 19, 345–353.	1995
214	Intergroup relations	People fuse the visual images of individuals of different races	17	0.05	NA	182	Mullen, B. (1991). Group composition, salience, and cognitive representations: The phenomenology of being in a group. Journal of Experimental Social Psychology, 27, 297–323.	1991
215	Intergroup relations	People perceive less in-group than out-group homogeneity	63	0.21	0.47	194	Mullen, B., & Hu, L. (1989). Perceptions of ingroup and outgroup variability: A meta-analytic integration. Basic and Applied Social Psychology, 10, 233–252.	1989
216	Intergroup relations	Prejudice causes discrimination	46	0.29	0.18	249	SchuÂ¨tz, H., & Six, B. (1996). How strong is the relationship between prejudice and discrimination? A meta-analytic answer. International Journal of Intercultural Relations, 20, 441–462. 	1996
217	Intergroup relations	Men are more likely than women to dislike homosexuals	119	0.19	0.13	157	Kite, M. E., & Whitley, B. E., Jr. (1996). Sex differences in attitudes toward homosexual persons, behaviors, and civil rights: A meta-analysis. Personality and Social Psychology Bulletin, 22, 336–353.	1996
218	Intergroup relations	Men are more likely than women to dislike homosexuals	91	0.13	0.11	307	Whitley, B. E., Jr., & Kite, M. E. (1995). Sex differences in attitudes toward homosexuality: A comment on Oliver and Hyde (1993). Psychological Bulletin, 117, 146–154. 	1995
219	Intergroup relations	Men are more likely than women to dislike homosexuals	24	0.04	0.08	155	Kite, M. E. (1984). Sex differences in attitudes toward homosexuals: A meta-analytic review. Journal of Homosexuality, 10, 69–81.	1984
220	Intergroup relations	People prefer young adults to elderly adults	43	0.19	0.19	156	Kite, M. E., & Johnson, B. T. (1988). Attitudes toward older and younger adults: A meta-analysis. Psychology and Aging, 3, 233–244.	1988
221	Intergroup relations	Young people believe that the elderly are unqualified for jobs	30	0.3	0.27	102	Finkelstein, L. M., Burke, M. J., & Raju, M. S. (1995). Age discrimination in simulated employment contexts: An integrative analysis. Journal of Applied Psychology, 80, 652–663.	1995
222	Intergroup relations	Elderly people give equal ratings to young and old job applicants	11	0	0.3	102	Finkelstein, L. M., Burke, M. J., & Raju, M. S. (1995). Age discrimination in simulated employment contexts: An integrative analysis. Journal of Applied Psychology, 80, 652–663.	1995
223	Intergroup relations	People attribute negative behaviors to members of stereotyped groups	23	0.26	0.16	195	Mullen, B., & Johnson, C. (1990). Distinctiveness-based illusory correlations and stereotyping: A meta-analytic integration. British Journal of Social Psychology, 29, 11–28.	1990
224	Intergroup relations	People associate small groups with negative events	36	0.41	0.1	146	Johnson, C., & Mullen, B. (1993). The determinants of differential group evaluations in distinctiveness-based illusory correlations in stereotyping. British Journal of Social Psychology, 32, 253–263.	1993
225	Intergroup relations	People associate small groups with negative events	28	0.34	0.19	195	Mullen, B., & Johnson, C. (1990). Distinctiveness-based illusory correlations and stereotyping: A meta-analytic integration. British Journal of Social Psychology, 29, 11–28.	1990
226	Law	A confident eyewitness gives accurate eyewitness testimony	35	0.25	0.09	36	Bothwell, R. K., Deffenbacher, K. A., & Brigham, J. C. (1987). Correlation of eyewitness accuracy and confidence: Optimality hypothesis revisited. Journal of Applied Psychology, 72, 691–695.	1987
227	Law	A confident eyewitness gives accurate eyewitness testimony	30	0.28	0.07	262	Sporer, S. L., Penrod, S., Read, D., & Cutler, B. (1995). Choosing, confidence, and accuracy: A meta-analysis of the confidence-accuracy relation in eyewitness identification studies. Psychological Bulletin, 118, 315–327. 	1995
228	Law	Eyewitnesses are accurate if they were confident before seeing a lineup	9	0.1	0.23	63	Cutler, B. L., & Penrod, S. D. (1989). Forensically relevant moderators of the relation between eyewitness identification accuracy and confidence. Journal of Applied Psychology, 74, 650–652.	1989
229	Law	Eyewitnesses who are told that the perpetrator is in a lineup: are confident in identifying a perpetrator	10	0.04	NA	266	Steblay, N. M. (1997). Social influence in eyewitness recall: A meta-analytic review of lineup instruction effects. Law and Human Behavior, 21, 283–297. 	1997
230	Law	Eyewitnesses who are told that the perpetrator is in a lineup: are inaccurate in identifying a perpetrator	19	0.12	0.35	266	Steblay, N. M. (1997). Social influence in eyewitness recall: A meta-analytic review of lineup instruction effects. Law and Human Behavior, 21, 283–297. 	1997
231	Law	It is easier to identify a suspect from a lineup than from photographs	28	0.06	0.21	62	Cutler, B. L., Berman, G. L., Penrod, S., & Fisher, R. P. (1994). Conceptual, practical, and empirical issues associated with eyewitness identification test media. In D. F. Ross, J. D. Read, & M. P. Toglia (Eds.), Adult eyewitness testimony (pp. 163–181). New York: Cambridge University Press.	1994
232	Law	If weapons are present at a crime, eyewitnesses have difficulty: identifying the perpetrator of the crime in a lineup	19	0.06	0.11	265	Steblay, N. M. (1992). A meta-analytic review of the weapon focus effect. Law and Human Behavior, 16, 413–424. 	1992
233	Law	If weapons are present at a crime, eyewitnesses have difficulty: recalling the perpetrator's features	10	0.27	NA	265	Steblay, N. M. (1992). A meta-analytic review of the weapon focus effect. Law and Human Behavior, 16, 413–424. 	1992
234	Law	Eyewitnesses are more accurate under some conditions than others	552	0.17	0.39	254	Shapiro, P. N., & Penrod, S. (1986). Metaanalysis of facial identification studies. Psychological Bulletin, 100, 139–156. 	1986
235	Law	There are individual differences in eyewitnesses' accuracy	173	0.05	0.23	254	Shapiro, P. N., & Penrod, S. (1986). Metaanalysis of facial identification studies. Psychological Bulletin, 100, 139–156. 	1986
236	Law	Large juries are more likely than small juries to reach a correct verdict	10	0.02	0.09	240	Saks, M. J., & Marti, M. W. (1997). A metaanalysis of the effects of jury size. Law and Human Behavior, 21, 451–467. 	1997
237	Law	Large juries are more likely than small juries to produce a hung trial	15	0.07	0.09	240	Saks, M. J., & Marti, M. W. (1997). A metaanalysis of the effects of jury size. Law and Human Behavior, 21, 451–467. 	1997
238	Law	A jury's final verdict is likely to be the verdict a majority initially favored	13	0.63	0	171	MacCoun, R. J., & Kerr, N. L. (1988). Asymmetric influence in mock jury deliberation: Jurors' bias for leniency. Journal of Personality and Social Psychology, 54, 21–33.	1988
239	Law	If a jury is initially split on a verdict, its final verdict is likely to be lenient	13	0.63	0	171	MacCoun, R. J., & Kerr, N. L. (1988). Asymmetric influence in mock jury deliberation: Jurors' bias for leniency. Journal of Personality and Social Psychology, 54, 21–33.	1988
240	Law	Juries are more influenced by credible than noncredible witnesses	8	0.17	NA	304	Whitley, B. E., Jr. (1987). The effects of discredited eyewitness testimony: A meta-analysis. The Journal of Social Psychology, 127, 209–214. 	1987
241	Law	Juries are harsher on African American than Anglo American defendants	19	0.09	0.03	280	Sweeney, L. T., & Haney, C. (1992). The influence of race on sentencing: A meta-analytic review of experimental studies. Behavioral Sciences and the Law, 10, 179–195. 	1992
242	Law	Jurors are harsh on poor, unattractive African American male defendants	131	0.05	0.11	175	Mazzella, R., & Feingold, A. (1994). The effects of physical attractiveness, race, socioeconomic status, and gender of defendants and victims on judgments of mock jurors: A meta-analysis. Journal of Applied Social Psychology, 24, 1315–1344.	1994
243	Law	Jurors are harsh if the victim is an attractive Anglo American female	55	0.04	0	175	Mazzella, R., & Feingold, A. (1994). The effects of physical attractiveness, race, socioeconomic status, and gender of defendants and victims on judgments of mock jurors: A meta-analysis. Journal of Applied Social Psychology, 24, 1315–1344.	1994
244	Law	Jurors who are high in authoritarianism favor harsh sentences	34	0.16	0.09	202	Narby, D. J., Cutler, B. L., & Moran, G. (1993). A meta-analysis of the association between authoritarianism and jurors' perceptions of defendant culpability. Journal of Applied Psychology, 78, 34–42.	1993
245	Law	In sexual assault cases, female jurors are harsher than male jurors	36	0.16	0	248	Schutte, J. W., & Hosch, H. M. (1997). Gender differences in sexual assault verdicts: A meta-analysis. Journal of Social Behavior and Personality, 12, 759–772. 	1997
246	Law	Men, more than women, believe that people get what they deserve	39	0.06	0.06	206	O'Connor, W. E., Morrison, T. G., McLeod, L. D., & Anderson, D. (1996). A meta-analytic review of the relationship between gender and belief in a just world. Journal of Social Behavior and Personality, 11, 141–148.	1996
